case_id,sweep_group,source_file,curated_file,moisture_percent_label,temperature_label_unverified_unit,o2_percent_label,n2_percent_label,atmosphere_label,row_count,time_start_s,time_end_s,temperature_initial_K,temperature_final_K,Y_CHAR_final,Y_CO_max,Y_H2_max,Y_CH4_max,selected_columns,notes
H2O00_T790_O2-N2-23-77,moisture_sweep,results_H2O0_T790_O2-N2-23-77.csv,data/curated/moisture_sweep_T790_O2-N2-23-77/H2O00_T790_O2-N2-23-77_selected.csv,0,T790,23,77,air / O2-N2 23-77,400,5,2000,790.078598,2500.19888,0.0255618144,0.0190905853,0.000300689323,7.84941762e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O10_T790_O2-N2-23-77,moisture_sweep,results_H2O10_T790_O2-N2-23-77.csv,data/curated/moisture_sweep_T790_O2-N2-23-77/H2O10_T790_O2-N2-23-77_selected.csv,10,T790,23,77,air / O2-N2 23-77,400,5,2000,813.555523,2408.41164,0.0232665809,0.0101141046,0.000191598333,5.44717848e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O15_T790_O2-N2-23-77,moisture_sweep,results_H2O15_T790_O2-N2-23-77.csv,data/curated/moisture_sweep_T790_O2-N2-23-77/H2O15_T790_O2-N2-23-77_selected.csv,15,T790,23,77,air / O2-N2 23-77,400,5,2000,824.630829,2335.09613,0.0235447175,0.00578798685,0.000126644391,4.61881433e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O20_T790_O2-N2-23-77,moisture_sweep,results_H2O20_T790_O2-N2-23-77.csv,data/curated/moisture_sweep_T790_O2-N2-23-77/H2O20_T790_O2-N2-23-77_selected.csv,20,T790,23,77,air / O2-N2 23-77,400,5,2000,835.295384,2255.08331,0.023538927,0.00305882871,7.86115529e-05,3.96460834e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O10_T780_O2-N2-23-77,temperature_sweep,results_H2O10_T780_O2-N2-23-77.csv,data/curated/temperature_sweep_H2O10_O2-N2-23-77/H2O10_T780_O2-N2-23-77_selected.csv,10,T780,23,77,air / O2-N2 23-77,400,5,2000,797.62362,2348.87199,0.0274599053,0.00627087612,0.000131607451,6.8407804e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O10_T790_O2-N2-23-77,temperature_sweep,results_H2O10_T790_O2-N2-23-77.csv,data/curated/temperature_sweep_H2O10_O2-N2-23-77/H2O10_T790_O2-N2-23-77_selected.csv,10,T790,23,77,air / O2-N2 23-77,400,5,2000,813.555523,2408.41164,0.0232665809,0.0101141046,0.000191598333,5.44717848e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O10_T800_O2-N2-23-77,temperature_sweep,results_H2O10_T800_O2-N2-23-77.csv,data/curated/temperature_sweep_H2O10_O2-N2-23-77/H2O10_T800_O2-N2-23-77_selected.csv,10,T800,23,77,air / O2-N2 23-77,400,5,2000,830.045829,2457.30393,0.0193289906,0.0148400343,0.000259918458,4.32825194e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O10_T790_O2-N2-0-100,oxygen_sweep,results_H2O10_T790_O2-N2-0-100.csv,data/curated/oxygen_sweep_H2O10_T790/H2O10_T790_O2-N2-0-100_selected.csv,10,T790,0,100,N2 / inert reference,1100,5,5500,813.239049,1254.03809,0.0317978797,0.0601528207,0.00672301674,0.011329325,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O10_T790_O2-N2-5-95,oxygen_sweep,results_H2O10_T790_O2-N2-5-95.csv,data/curated/oxygen_sweep_H2O10_T790/H2O10_T790_O2-N2-5-95_selected.csv,10,T790,5,95,O2-N2 5-95,500,5,2500,813.307155,1674.80825,0.0315123518,0.0564855719,0.00389271083,0.000230387403,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O10_T790_O2-N2-10-90,oxygen_sweep,results_H2O10_T790_O2-N2-10-90.csv,data/curated/oxygen_sweep_H2O10_T790/H2O10_T790_O2-N2-10-90_selected.csv,10,T790,10,90,O2-N2 10-90,300,5,1500,813.375574,2122.76331,0.0311922128,0.0275868656,0.000929317239,6.25983177e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
H2O10_T790_O2-N2-23-77,oxygen_sweep,results_H2O10_T790_O2-N2-23-77.csv,data/curated/oxygen_sweep_H2O10_T790/H2O10_T790_O2-N2-23-77_selected.csv,10,T790,23,77,air / O2-N2 23-77,400,5,2000,813.555523,2408.41164,0.0232665809,0.0101141046,0.000191598333,5.44717848e-05,time_s;temperature_K;density_kg_per_m3;Y_WOOD;Y_CHAR;Y_TAR;Y_O2;Y_N2;Y_H2O;Y_H2O_L;Y_CO;Y_CO2;Y_H2;Y_CH4,Curated reduced Cantera output. Values are mass fractions unless noted. Tiny negative values can occur as numerical artifacts.
